title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
36个口袋的蕨类植物垂直花园,绿色的,16.96,https://cf.shopee.com.br/file/br-11134207-7r98o-mcqo7mfesrhu30,http://shopee.com.br/product/283760455/5280025900,女包,双肩包,IVCN2026082413141,93396069167,https://detail.1688.com/offer/534944102485.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=65324b0c443041698ed5c5f3ff1be42c&sessionid=9ab3dcebf4b370b1795dbed50754592d,P0,9月寻品,5280025900,16.96,高流量,1
【2-4件装】黄铜狗钩带，适用于手工皮革制品包袋,20毫米钩子，4个装,21.73,https://cf.shopee.vn/file/82119db658fbae4e51010d58b69c37bc,http://shopee.vn/product/263385092/5337258354,女包,包配件,IVCN202608315545,138985292737,https://detail.1688.com/offer/693033511444.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2108837b17877987366473889e0f5e&token=mKtCHANFUQLklk5EepgqK2nihHCK5MeGtQRpFOiwUTF4hqD%2FjoHW4P%2BRIbupOH0d,P1,9月寻品,5337258354,21.73,高流量,1
Quânstore79 店铺专用装饰手提包展示架，高 40 厘米，可延伸至 65 厘米。,金子,31,https://cf.shopee.vn/file/vn-11134207-7r98o-lyt6pr33lfvlf6,http://shopee.vn/product/443669847/5395026993,女包,包配件,IVCN2026082130107,36511208988,https://detail.1688.com/offer/631320182110.html?spm=a26352.b28411319.offerlist.18.170b1e62hrP3xn&cosite=-&tracelog=p4p&_p_isad=1&clickid=deba6d24447f4771a04581dc20fe2f21&sessionid=T4bhSSSbphzX3D2AQ5ZWNZNGntpzjt6R7kn1758531604459,P1,9月寻品,5395026993,32.46,高流量,1
彩虹袋，彩虹袋#A1，廉价麻袋，尼龙麻袋，草编袋，服装袋，Sampeng袋。,XXL #Jumbo A1,6.65,https://cf.shopee.co.th/file/61dcd9befd61d3904b2f0c592f8b32d9,http://shopee.co.th/product/21759228/5615926336,女包,其他,IVCN202608315547,69313923793,https://detail.1688.com/offer/700984765830.html?kj_agent_plugin=aliprice&fromkv=xytTrace:210702e017877987439638043e0f2f&token=f97xLynZBjiL0vXB3WgKk0defLyw8NTRI8wsDlOteT20Jkqdh53psoo%2B%2BxYfX%2Fwf,P1,9月寻品,5615926336,6.65,高流量,1
JME现货手提包展示架 方形设计手提包展示架 包包展示架 手提包展示架 手提包展示架,Chorme，1 套,17.57,https://cf.shopee.com.my/file/c96eb9282fddf736cfb8963328f24d48,http://shopee.com.my/product/205344980/5756205231,女包,包配件,IVCN202608315549,117014789727,https://detail.1688.com/offer/525943479193.html?kj_agent_plugin=aliprice&fromkv=xytTrace:212b5ecd17877990508255327e0fc6&token=N48Ou9d8U%2Bx5eLLoqZWa9XOOWP%2FCEp0HrMRuyA35MdnnPyX%2F1CEq%2FnVzfmx8p%2BQg,P1,9月寻品,5756205231,17.57,高流量,1
全新 Anello x PEANUTS-936 史努比时尚单肩包，防水面料，容量大，现货发售。,03# 浅灰色,11.5,https://cf.shopee.co.th/file/th-11134207-81zth-mm388nieo748fe,http://shopee.co.th/product/341929673/5964397318,女包,斜挎包,IVCN2026082412928,41925100690,https://detail.1688.com/offer/927979556084.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i5&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,9月寻品,5964397318,12.65,高流量,3
女士帆布手提袋 时尚水果印花图案 环保收纳购物手提包 可重复使用可折叠环保杂货袋 学生手提袋,橙子,7.5,https://cf.shopee.ph/file/2e0cadb453b1be11b99606d40afba375,http://shopee.ph/product/196717182/6084011207,女包,托特包,IVCN2026082130109,74528973655,https://detail.1688.com/offer/620149607409.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,9月寻品,6084011207,7.5,高流量,1
多币种钱包/管理器,黑色（B）,16.36,https://cf.shopee.ph/file/ph-11134207-7rasc-m7ombxaisqqxa1,http://shopee.ph/product/235216733/6121086862,女包,钱包,IVCN2026082413143,16482766450,https://detail.1688.com/offer/940597483745.html?spm=a26352.13672862.offerlist.26.2c391e62K1Cl0x&cosite=-&tracelog=p4p&_p_isad=1&clickid=787f47b0d4f4469bab66f904c116392c&sessionid=27fe3985e317770c5bc0a2175c55a6b4,P0,9月寻品,6121086862,16.36,高流量,1
Habagat E-Pouch（零钱包）迷你款,黑色的,8.99,https://cf.shopee.ph/file/e37e412cb8987755ff7b1edcb9366366,http://shopee.ph/product/325316640/6176231105,女包,钱包,IVCN2026082413145,73363164242,https://detail.1688.com/offer/969363174371.html?spm=a26352.b28411319/2508.0.0,P0,9月寻品,6176231105,9.73,高流量,1
正在加载...,#1 大型条纹马蹄铁/T,2.67,https://cf.shopee.co.th/file/th-11134207-7r98x-lqcqnz43aplm1f,http://shopee.co.th/product/33848405/6254625697,女包,包配件,IVCN202608315551,22064934320,https://detail.1688.com/offer/644742616076.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2132815517877992886141362e0e79&token=o1YI8pSLMAJnvaDYFdDEm%2FyGKLW7LXFxm%2FHowJCzojYLLnPP%2F5JPm%2BHTa4QvleVz,P1,9月寻品,6254625697,2.67,高流量,1
女士商务公文包/笔记本电脑包，适用于 13/14/15/15.6/16/17 英寸笔记本电脑，休闲/社交风格,棕色鳄鱼，大号,32,https://cf.shopee.com.br/file/br-11134207-7r98o-lucb72gvlmxs81,http://shopee.com.br/product/311240815/6491067405,女包,电脑包,IVCN2026082130111,179720329148,https://detail.1688.com/offer/844629117368.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i11&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P1,9月寻品,6491067405,35.2,高流量,1
本地丛林（爱丽丝）背包,绿色，标准中等,62,https://cf.shopee.ph/file/58edd49af689ee4fb17175c54ed39a1a,http://shopee.ph/product/299308711/6749008832,女包,双肩包,IVCN2026082413147,21694183129,https://detail.1688.com/offer/833951611680.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=8a55e9f552224e1b896add9a11494981&sessionid=7c4703cebd9743a6983626f9ac49bc2e,P0,9月寻品,6749008832,68.2,高流量,1
精工真皮卡包（带RFID屏蔽功能）CH-103,黑色的,15.5,https://cf.shopee.ph/file/cf275848cd79f396cc03fdb472bcbc43,http://shopee.ph/product/315401304/6775781108,女包,钱包,IVCN202607106782,43310132211,https://detail.1688.com/offer/670319069866.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b5681be17642138381343210e0e84&token=GrWx88Bm2MC5oCO3gwwIwRzZxgLsAOxUK91mtEuWC0MoAhzK6vPx5nELl2%2FXSmJn,P0,9月寻品,6775781108,17.05,高流量,1
DL-1 笔记本电脑背包，14-15.6 英寸笔记本电脑包，简约时尚。,DL-1 红色拉链背包,21.88,https://cf.shopee.co.th/file/th-11134207-7r98t-lwa7ho0ttj1s2a,http://shopee.co.th/product/29450207/6812374505,女包,电脑包,IVCN2026082130113,81434582052,https://detail.1688.com/offer/594915240471.html?kj_agent_plugin=aliprice&fromkv=xytTrace:21365bc417509910263004407e18f7&token=v2d6xHbiGM%2FfftQig46SlNPHlu9wB731KqldP0DI%2FPYoAhzK6vPx5nELl2%2FXSmJn,P1,9月寻品,6812374505,21.88,高流量,1
双向可调节高度桌面展示架，适用于展示包袋和珠宝首饰。#1455,正在加载...,25.67,https://cf.shopee.co.th/file/th-11134207-81ztm-mlt1u4ynpaf51f,http://shopee.co.th/product/486171/6856559959,女包,包配件,IVCN202608315553,22195678333,https://detail.1688.com/offer/864124732032.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2154647417877994524117253e0ed6&token=347a%2FRr9h1vUb33xhMhjSCM2lGGjFjIWyCUaDDr22yazPjcXaLOozLbaF%2BKyYVmJ,P1,9月寻品,6856559959,25.67,高流量,1
10个手工金属标签，可用于帽子、鞋子、包包等DIY服装缝纫配件,银,3.61,https://cf.shopee.ph/file/0dd8728bbb5a039626be62908181937b,http://shopee.ph/product/133494401/6968633064,女包,包配件,IVCN202608315555,90192544507,https://detail.1688.com/offer/632386983776.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b5681be17877994616661880e0c17&token=BVqbt0l0s%2Fg9wbJSAJBhVwTI0AqwA4NBM6JtxfvoeUhCF%2F51Mwf6QtkXD%2FrS%2BmmN,P1,9月寻品,6968633064,3.61,高流量,2
Velonica包,水蓝色,155,https://cf.shopee.co.th/file/th-11134207-81ztp-mjbh7mi957ur8e,http://shopee.co.th/product/388832563/7379479204,女包,斜挎包,IVCN2026082130065,421096233846,https://detail.1688.com/offer/983007487870.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23cf.shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P0,9月寻品,7379479204,170.5,高流量,4
双头拉链头，可双向拉合。适用于5号尼龙拉链。数量：10个。镀镍。,第五名,0.67,https://cf.shopee.co.th/file/th-11134207-81ztd-mk0iyvwhitqc12,http://shopee.co.th/product/264899011/7438773166,女包,包配件,IVCN2026082130115,410494798770,https://detail.1688.com/offer/930708297880.html?spm=a26352.b28411319/2508.0.0,P1,9月寻品,7438773166,0.67,高流量,1
20 个环保素色袋子（环保袋），尺寸为 30x40x10 厘米（含底），由 100% 原棉制成。,20 个环保素色袋子（环保袋），尺寸为 30x40x10 厘米（含底），由 100% 原棉制成。,61.68,https://cf.shopee.com.br/file/br-11134207-820lc-mmknzd5te29sb2,http://shopee.com.br/product/319008473/7690924983,女包,手提包,IVCN2026082130117,100500202251,https://detail.1688.com/offer/902858179373.html?spm=a26352.b28411319.offerlist.46.1db91e62rCwFW5&cosite=-&tracelog=p4p&_p_isad=1&clickid=026bcf98f5a54b9b955e7e69033c0aea&sessionid=b191bc77d0c722b791a7fb177cb471d8,P1,9月寻品,7690924983,61.68,高流量,1
防静电洁净室透明工具包，全覆盖PVC材质，适用于工程师腰包,防静电洁净室透明工具包，全覆盖PVC材质，适用于工程师腰包,15,https://cf.shopee.sg/file/ca11b75e174b4cae1d11b7bb49194315,http://shopee.sg/product/135054321/7744134921,女包,胸腰包,IVCN202608315558,60438149867,https://detail.1688.com/offer/523340067092.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A21080f7717877995490587653e0e5b&token=1oVBNG7eiMJBB6MEHdQmdf0Sb11xPE7tmP9ZL9IHj%2FYMlNIRCDJNLL%2F2Lz0b6APL&tracelog=cps&clickid=0db5b4c34578b4cd28aed5b8902db070&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B1511AEBFB0C36876109DEFF4C5DACAD4A13C0FB10B64688F6ED3661446B8F6B7C348394BC3CC3C62B9992F8828C4BE892D2B57ADEF0336797395CC508A41D7924A344777F8CCDA4DCE0506704CF513B4F6CB7D267EB8042C285DD078A1945986BE492C54D7E24E6CE06CF54C8C19B8D0AF5E745B5BAADABCB92EA87046E1F2DCDF28185E3DC82587F%26cbu_cps_trace_flag%3Dwrite,P1,9月寻品,7744134921,16.5,高流量,1
现货发售！Anello x PEANUTS 时尚背包，史努比设计，防水面料，大容量，适合各种风格。,01# 黑色，L,35,https://cf.shopee.co.th/file/47b4d095f18ba57c37de8f6b313200fd,http://shopee.co.th/product/165176661/7746733066,女包,双肩包,IVCN2026082130119,50617699525,https://detail.1688.com/offer/718534534978.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2133d7d417787258784737745e0e20&token=BXDusXF1itguk5OGslOqeqonZN5NxEanKeTO%2FOPG0HN%2BDF5IhA1jczzK6KQmVDSW,P0,9月寻品,7746733066,36.05,高流量,1
10个装纯色帆布手提袋，带拉链和底部 [高品质] 帆布直销供应商,13x16（10 件装）大号，带底座和拉链,2.2,https://cf.shopee.ph/file/dd80d0275d6d428595afe4cf34711ee0,http://shopee.ph/product/85672712/7946823145,女包,托特包,IVCN2026082413149,21561203131,https://detail.1688.com/offer/1060230042963.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=c92c12a8d295420b89c8ca35d93b739a&sessionid=452ea7be7a4549ea99bc648ee30adead,P0,9月寻品,7946823145,2.42,高流量,2
正在加载...,正在加载...,33,https://cf.shopee.com.br/file/br-11134207-820l6-mp0ta7j6zawx00,http://shopee.com.br/product/377126536/8341118480,女包,双肩包,IVCN2026082413152,239397744723,https://detail.1688.com/offer/921018125240.html?spm=a26352.13672862.offerlist.10.27cc2ce0OICbYS&offerId=921018125240&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=9acc87253b6248ac85f0e7a734438dad&skuId=6095749911975&forcePC=1787108653579,P0,9月寻品,8341118480,36.3,高流量,1
Multineos 女士书包三件套，含保温袋和铅笔盒,粉色的,44.58,https://cf.shopee.com.br/file/br-11134207-820mb-mp0t7tb7gv0la5,http://shopee.com.br/product/377126536/8854333178,女包,双肩包,IVCN2026082130121,169710398599,https://detail.1688.com/offer/977959609603.html?spm=a26352.13672862.offerlist.4.54b743e5ZPV92N&offerId=977959609603&sortType=&pageId=&abBizDataType=cbuOffer&trace_log=normal&uuid=6e68332f2f4b4abb8046f04e7fa7e7c8&skuId=5931962264880&forcePC=1758538901178,P0,9月寻品,8854333178,44.58,高流量,3
基础款真皮斜挎包，男女通用真皮手提包，带拉链和宽肩带，韩版 0335,黑色的,18.79,https://cf.shopee.vn/file/vn-11134207-7qukw-lj0xk5sbqh1u19,http://shopee.vn/product/17912986/8995278471,女包,斜挎包,IVCN2026082130125,131214782308,https://detail.1688.com/offer/1001453889703.html?spm=a26352.b28411319/2508.0.0,P0,9月寻品,8995278471,18.79,高流量,1
日常携带的 Sofia 法棍包和斜挎包,黑色的,22,https://cf.shopee.ph/file/ph-11134207-7qul4-ljwdrcv6kwi7cc,http://shopee.ph/product/682481213/8998442383,女包,斜挎包,IVCN2026082130127,152408591380,https://detail.1688.com/offer/771704637103.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i4&source=action%23offerItem%3Borigin%23cf.shopee.ph&amug_biz=oneself&amug_fl_src=awakeId_982,P0,9月寻品,8998442383,24.2,高流量,1
Habagat Urban Gear 3升腰包,黑色的,14,https://cf.shopee.ph/file/ph-11134207-7rasb-m33bm39n76nvc6,http://shopee.ph/product/325316640/9234316540,女包,胸腰包,IVCN202607237878,74511866597,https://detail.1688.com/offer/817055620562.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0,P1,9月寻品,9234316540,15.4,高流量,1
蓬松手提包/单肩包（黑色）,蓬松手提包/单肩包（黑色）,56,https://cf.shopee.co.th/file/th-11134207-81ztg-mfrbjnpnk6bs78,http://shopee.co.th/product/39532/9442554865,女包,手提包,IVCN2026082130129,25386864756,https://detail.1688.com/offer/884041490007.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,P1,9月寻品,9442554865,61.6,高流量,1
